
insert into medals values (1,'Medal 1','Medal/Medal_1.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (2,'Medal 10','Medal/Medal_10.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (3,'Medal 100','Medal/Medal_100.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (4,'Medal 101','Medal/Medal_101.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (5,'Medal 102','Medal/Medal_102.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (6,'Medal 103','Medal/Medal_103.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (7,'Medal 104','Medal/Medal_104.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (8,'Medal 105','Medal/Medal_105.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (9,'Medal 106','Medal/Medal_106.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (10,'Medal 107','Medal/Medal_107.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (11,'Medal 108','Medal/Medal_108.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (12,'Medal 109','Medal/Medal_109.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (13,'Medal 11','Medal/Medal_11.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (14,'Medal 12','Medal/Medal_12.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (15,'Medal 13','Medal/Medal_13.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (16,'Medal 14','Medal/Medal_14.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (17,'Medal 15','Medal/Medal_15.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (18,'Medal 16','Medal/Medal_16.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (19,'Medal 17','Medal/Medal_17.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (20,'Medal 18','Medal/Medal_18.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (21,'Medal 19','Medal/Medal_19.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (22,'Medal 2','Medal/Medal_2.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (23,'Medal 20','Medal/Medal_20.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (24,'Medal 21','Medal/Medal_21.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
insert into medals values (25,'Medal 22','Medal/Medal_22.png',77250001.5,30000000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1,0,0,0,0,0,0,100,10,10,10,10,10,10,10,10,10,10,10,'');
